index,img_path,label_A,label_B,clip_choice,prob0,prompt0,prob1,prompt1
18,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000018_playing trumpet_to_punching person (boxing)_3f9VlqbXH2I_000114_000124_bg_Je5KsM6aUc0_000011_000021/000081.jpg,playing trumpet,punching person (boxing),0,25.545963287353516,A person doing playing trumpet at boxing ring,20.381059646606445,A person doing punching person (boxing) at music festival
19,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000019_walking the dog_to_dunking basketball_ypl3JWaPnFA_000063_000073_bg_fNvsvkohgY4_000000_000010/000151.jpg,walking the dog,dunking basketball,1,22.134737014770508,A person doing walking the dog at basketball court,22.99911880493164,A person doing dunking basketball at backyard
20,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000020_eating ice cream_to_sword fighting_GQQ3s4O_-HY_000006_000016_bg_VoX60Mfn15k_000007_000017/000151.jpg,eating ice cream,sword fighting,0,23.693578720092773,A person doing eating ice cream at forest clearing,13.556136131286621,A person doing sword fighting at backyard
21,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000021_playing bass guitar_to_brushing hair_qx8eYKeDhmw_000187_000197_bg_gkNaCAQyU_0_000034_000044/000151.jpg,playing bass guitar,brushing hair,0,28.175724029541016,A person doing playing bass guitar at bathroom,21.665454864501953,A person doing brushing hair at band practice room
22,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000022_playing basketball_to_climbing ladder_ocJaiKOm55g_000048_000058_bg_YMmESs1QLSM_000005_000015/000151.jpg,playing basketball,climbing ladder,0,26.101619720458984,A person doing playing basketball at construction site,24.897037506103516,A person doing climbing ladder at driveway
23,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000023_skipping rope_to_eating cake_GUWR5TyiY-M_000012_000022_bg_4fwEL41mQAs_000000_000010/000151.jpg,skipping rope,eating cake,0,22.666467666625977,A person doing skipping rope at bakery,22.295940399169922,A person doing eating cake at gym
24,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000024_dunking basketball_to_flying kite_f0H5AVFMHrg_000000_000010_bg_07xOT83TIG4_000040_000050/000151.jpg,dunking basketball,flying kite,1,28.425416946411133,A person doing dunking basketball at park,34.61869812011719,A person doing flying kite at gymnasium
25,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000025_brushing hair_to_playing saxophone_GlykR4fqsVc_000049_000059_bg_rlDGXO3KwO4_000001_000011/000151.jpg,brushing hair,playing saxophone,0,30.331256866455078,A person doing brushing hair at jazz club,25.163650512695312,A person doing playing saxophone at dressing room
26,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000026_walking the dog_to_playing bass guitar_-U1xXJB1AHE_000038_000048_bg_gJFNNbxsCN8_000104_000114/000151.jpg,walking the dog,playing bass guitar,1,24.510833740234375,A person doing walking the dog at concert hall,27.852365493774414,A person doing playing bass guitar at backyard
27,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000027_archery_to_climbing a rope_MrI8XlHC4p0_000000_000010_bg_1c17xEdMHns_000119_000129/000151.jpg,archery,climbing a rope,0,27.13439178466797,A person doing archery at military training facility,22.34857749938965,A person doing climbing a rope at historical reenactment site
28,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000028_climbing ladder_to_canoeing or kayaking_qWr7plHuEtE_000024_000034_bg_2ENSwCFJ07A_000016_000026/000152.jpg,climbing ladder,canoeing or kayaking,1,24.125185012817383,A person doing climbing ladder at bayou,27.27924346923828,A person doing canoeing or kayaking at warehouse
29,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000029_playing volleyball_to_clean and jerk_Pb_R7BUnOQ4_000001_000011_bg_Um05ExTanZQ_000017_000027/000101.jpg,playing volleyball,clean and jerk,1,25.131481170654297,A person doing playing volleyball at crossfit box,28.298208236694336,A person doing clean and jerk at park
30,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000030_canoeing or kayaking_to_reading book_YLuft2I6YYc_000092_000102_bg_taZtEzvkg3M_000002_000012/000151.jpg,canoeing or kayaking,reading book,0,20.3362979888916,A person doing canoeing or kayaking at library,18.046293258666992,A person doing reading book at colorado river
31,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000031_dunking basketball_to_eating cake_i0O61_ndoWo_000002_000012_bg_ktK9w4n_zS0_000018_000028/000121.jpg,dunking basketball,eating cake,1,23.805912017822266,A person doing dunking basketball at birthday party,24.006343841552734,A person doing eating cake at playground
32,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000032_shooting goal (soccer)_to_catching or throwing frisbee_YAmbVR1n56c_000144_000154_bg_MsfeeRqyaa4_000003_000013/000151.jpg,shooting goal (soccer),catching or throwing frisbee,0,27.91529083251953,A person doing shooting goal (soccer) at backyard,26.47348976135254,A person doing catching or throwing frisbee at sports complex
33,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000033_climbing a rope_to_bowling_M2anYJApuvQ_000000_000010_bg_fmBKCRz3yYk_000328_000338/000151.jpg,climbing a rope,bowling,0,30.535680770874023,A person doing climbing a rope at bowling alley,25.491994857788086,A person doing bowling at military training facility
34,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000034_playing accordion_to_canoeing or kayaking_nrF8FOuvACg_000127_000137_bg_FqCVQSDxOSs_000773_000783/000151.jpg,playing accordion,canoeing or kayaking,0,23.213228225708008,A person doing playing accordion at everglades,20.573564529418945,A person doing canoeing or kayaking at coffee shop
35,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000035_smoking_to_playing saxophone_QJrRlSn2rV0_000101_000111_bg_osE7Tz4k_gc_000197_000207/000151.jpg,smoking,playing saxophone,1,20.222410202026367,A person doing smoking at subway station,25.211843490600586,A person doing playing saxophone at rooftop
36,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000036_playing piano_to_driving car_9o68AyEWzcM_000081_000091_bg_tVuop87KbDY_000011_000021/000151.jpg,playing piano,driving car,1,21.37097930908203,A person doing playing piano at city street,25.458559036254883,A person doing driving car at jazz club
37,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000037_brushing teeth_to_deadlifting_Hwuul-R9x_g_000067_000077_bg_U7B_CxhXgYM_000000_000010/000107.jpg,brushing teeth,deadlifting,1,20.366113662719727,A person doing brushing teeth at gym,27.272594451904297,A person doing deadlifting at school restroom
38,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000038_juggling soccer ball_to_driving car_xYnCc5a3nkM_000077_000087_bg_9c8Mi1WYwOs_000116_000126/000151.jpg,juggling soccer ball,driving car,1,21.448232650756836,A person doing juggling soccer ball at suburban neighborhood,27.448829650878906,A person doing driving car at gymnasium
39,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000039_shooting goal (soccer)_to_catching or throwing frisbee_iMkymcBJUTE_000075_000085_bg_DR0WB_0vn90_000062_000072/000151.jpg,shooting goal (soccer),catching or throwing frisbee,0,27.71574592590332,A person doing shooting goal (soccer) at park,25.847476959228516,A person doing catching or throwing frisbee at professional stadium
40,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000040_playing piano_to_eating cake_4mQP7S4EGwg_000020_000030_bg_IRppx8kfVlA_000006_000016/000151.jpg,playing piano,eating cake,0,24.828195571899414,A person doing playing piano at picnic area,23.381982803344727,A person doing eating cake at jazz club
41,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000041_opening bottle_to_cleaning windows_eFDcurD-6bY_000077_000087_bg_gmRb11vMatc_000045_000055/000140.jpg,opening bottle,cleaning windows,0,28.003183364868164,A person doing opening bottle at hospital,26.632097244262695,A person doing cleaning windows at picnic
42,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000042_playing bass guitar_to_sword fighting_pfWmvoFOjxk_000148_000158_bg_UCa9gsGh-gI_000003_000013/000151.jpg,playing bass guitar,sword fighting,1,22.643461227416992,A person doing playing bass guitar at beach cove,24.28008460998535,A person doing sword fighting at music studio
43,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000043_surfing water_to_catching or throwing frisbee_r2U-mAIEEYU_000000_000010_bg_FzYUhtv41XY_000041_000051/000151.jpg,surfing water,catching or throwing frisbee,1,18.864229202270508,A person doing surfing water at park,23.996896743774414,A person doing catching or throwing frisbee at hawaii
44,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000044_shooting basketball_to_archery_xvU1Zt_P97Q_000066_000076_bg_oZ0QUyB18Zg_000178_000188/000151.jpg,shooting basketball,archery,0,32.9790153503418,A person doing shooting basketball at archery range,32.71957778930664,A person doing archery at basketball court
45,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000045_climbing a rope_to_hurdling_ZzecbRoYQT8_000012_000022_bg_de0NfvOCtno_000021_000031/000151.jpg,climbing a rope,hurdling,0,21.06369972229004,A person doing climbing a rope at training facility,20.698781967163086,A person doing hurdling at outdoor adventure park
46,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000046_clean and jerk_to_cleaning windows_XPaLzlrN-4o_000004_000014_bg_g_pXkgt618M_000068_000078/000121.jpg,clean and jerk,cleaning windows,0,29.79962921142578,A person doing clean and jerk at office building,28.06511878967285,A person doing cleaning windows at gym
47,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000047_juggling soccer ball_to_skiing (not slalom or crosscountry)_XZivRFQTvuM_000141_000151_bg_wOlm2QBlX6s_000234_000244/000151.jpg,juggling soccer ball,skiing (not slalom or crosscountry),1,26.08418083190918,A person doing juggling soccer ball at whistler,29.607635498046875,A person doing skiing (not slalom or crosscountry) at gymnasium
48,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000048_eating cake_to_brushing teeth_4EZs8ShkVEk_000092_000102_bg_4LjTObjauus_000022_000032/000151.jpg,eating cake,brushing teeth,0,27.221370697021484,A person doing eating cake at hotel room,26.98876190185547,A person doing brushing teeth at birthday party
49,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000049_shooting goal (soccer)_to_juggling balls_FXN38F_eok4_000038_000048_bg_Nbrtd_o2D8g_000078_000088/000151.jpg,shooting goal (soccer),juggling balls,1,23.911376953125,A person doing shooting goal (soccer) at street corner,27.72051429748535,A person doing juggling balls at school playground
50,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000050_sword fighting_to_writing_wC3IpGS5o5U_000017_000027_bg_OrWjyz2bFJQ_000064_000074/000151.jpg,sword fighting,writing,1,20.259769439697266,A person doing sword fighting at coffee shop,24.192434310913086,A person doing writing at beach cove
51,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000051_skiing slalom_to_bowling_o5K7K_9JqJo_000048_000058_bg_v52Gi2rgV3w_000005_000015/000151.jpg,skiing slalom,bowling,1,24.444366455078125,A person doing skiing slalom at sports complex,29.29897689819336,A person doing bowling at chamonix
52,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000052_reading newspaper_to_sweeping floor_-8oPwToqArE_000001_000011_bg_n5ZHSJRZl1U_000002_000012/000151.jpg,reading newspaper,sweeping floor,0,21.152006149291992,A person doing reading newspaper at office,20.968849182128906,A person doing sweeping floor at library
53,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000053_reading book_to_tying tie_X7CMbcLCq5A_000138_000148_bg_QQp6IfJInQc_000105_000115/000151.jpg,reading book,tying tie,1,21.423418045043945,A person doing reading book at car,25.58193588256836,A person doing tying tie at coffee shop
54,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000054_skiing slalom_to_clean and jerk__YZiOJn1mYg_000010_000020_bg_cS3_7_XY4RU_000005_000015/000151.jpg,skiing slalom,clean and jerk,0,29.911577224731445,A person doing skiing slalom at sports training facility,25.512298583984375,A person doing clean and jerk at whistler blackcomb
55,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000055_brushing hair_to_dunking basketball_EJfiLph7tJ0_000000_000010_bg_N8L8j0RTFdg_000025_000035/000151.jpg,brushing hair,dunking basketball,1,22.223583221435547,A person doing brushing hair at gymnasium,30.870378494262695,A person doing dunking basketball at bathroom
56,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000056_playing saxophone_to_dribbling basketball_f8cq1C_NRKc_000076_000086_bg_P9lotgUhYQc_000022_000032/000151.jpg,playing saxophone,dribbling basketball,1,22.69329261779785,A person doing playing saxophone at park,28.21257781982422,A person doing dribbling basketball at subway station
57,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000057_playing piano_to_playing violin_C9boKvSr3kU_000015_000025_bg_ennR61HZSP8_000066_000076/000151.jpg,playing piano,playing violin,1,22.168048858642578,A person doing playing piano at concert hall,25.14680290222168,A person doing playing violin at school auditorium
58,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000058_hitting baseball_to_skiing slalom_mTP2kap9cIw_000056_000066_bg_nK3b9DTxP5w_000366_000376/000151.jpg,hitting baseball,skiing slalom,1,22.669517517089844,A person doing hitting baseball at vail,25.443872451782227,A person doing skiing slalom at sports complex
59,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000059_catching or throwing baseball_to_deadlifting_aU2ByztjE60_000009_000019_bg_wTb_kzlVfUE_000024_000034/000151.jpg,catching or throwing baseball,deadlifting,0,28.111202239990234,A person doing catching or throwing baseball at fitness studio,26.911252975463867,A person doing deadlifting at backyard
60,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000060_shooting basketball_to_dunking basketball_jnTuUuETpSs_000002_000012_bg_N8L8j0RTFdg_000025_000035/000151.jpg,shooting basketball,dunking basketball,1,20.024139404296875,A person doing shooting basketball at backyard,20.971717834472656,A person doing dunking basketball at park
61,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000061_canoeing or kayaking_to_tying tie_J6YLyBlmkZw_000013_000023_bg_d2owlPKG5bY_000096_000106/000151.jpg,canoeing or kayaking,tying tie,1,18.770950317382812,A person doing canoeing or kayaking at wedding venue,24.227022171020508,A person doing tying tie at colorado river
62,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000062_playing basketball_to_catching or throwing baseball_3mIvIgAlniY_000001_000011_bg_SzWZQDfymmY_000068_000078/000151.jpg,playing basketball,catching or throwing baseball,0,25.834793090820312,A person doing playing basketball at school playground,22.801239013671875,A person doing catching or throwing baseball at gymnasium
63,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000063_playing piano_to_playing tennis_9UJsk6sts_o_000052_000062_bg_n89Vt1KieGw_000003_000013/000151.jpg,playing piano,playing tennis,1,20.912487030029297,A person doing playing piano at sports club,26.272483825683594,A person doing playing tennis at music studio
64,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000064_smoking_to_juggling balls_3vCRLo5dtNY_000149_000159_bg_1cIrRGn5mmQ_000303_000313/000151.jpg,smoking,juggling balls,0,26.28380584716797,A person doing smoking at park,21.080646514892578,A person doing juggling balls at park
65,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000065_shooting goal (soccer)_to_sword fighting_2bA0vJGml6Q_000005_000015_bg_VH7Z2Bolvt4_000002_000012/000151.jpg,shooting goal (soccer),sword fighting,0,24.53725814819336,A person doing shooting goal (soccer) at training arena,20.76067543029785,A person doing sword fighting at soccer field
66,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000066_playing saxophone_to_juggling balls_P4w8Ef14Mis_000017_000027_bg_hWn5R3BQBys_000020_000030/000151.jpg,playing saxophone,juggling balls,1,20.627399444580078,A person doing playing saxophone at beach,24.81214141845703,A person doing juggling balls at subway station
67,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000067_walking the dog_to_deadlifting_y3jdPKWjqZY_000004_000014_bg_tAn1JD4xFbc_000007_000017/000151.jpg,walking the dog,deadlifting,1,22.911319732666016,A person doing walking the dog at garage,28.86704444885254,A person doing deadlifting at backyard
68,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000068_smoking_to_reading newspaper_LJLymFbDnmk_000155_000165_bg_26N2XO29YU8_000006_000016/000151.jpg,smoking,reading newspaper,0,24.53070640563965,A person doing smoking at living room,15.650081634521484,A person doing reading newspaper at beach
69,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000069_skiing slalom_to_deadlifting_3I0uO2fwVCk_000020_000030_bg_yzdUyn3sHSs_000006_000016/000111.jpg,skiing slalom,deadlifting,1,27.35886573791504,A person doing skiing slalom at fitness studio,29.33298683166504,A person doing deadlifting at chamonix
70,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000070_shooting goal (soccer)_to_driving car_vPUFfffOxRM_000000_000010_bg_p6vr6WVh2Ss_000036_000046/000151.jpg,shooting goal (soccer),driving car,1,21.028545379638672,A person doing shooting goal (soccer) at suburban neighborhood,25.183015823364258,A person doing driving car at soccer field
71,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000071_dunking basketball_to_skiing (not slalom or crosscountry)_Epm2c6l1Md8_000002_000012_bg_pubHgFrMXUY_000234_000244/000151.jpg,dunking basketball,skiing (not slalom or crosscountry),0,30.11336898803711,A person doing dunking basketball at chamonix,26.968198776245117,A person doing skiing (not slalom or crosscountry) at backyard
72,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000072_sword fighting_to_playing volleyball_U3bcWXDWICY_000077_000087_bg_ZXvgHRz92h4_000056_000066/000151.jpg,sword fighting,playing volleyball,1,26.172443389892578,A person doing sword fighting at gym,30.04000473022461,A person doing playing volleyball at abandoned warehouse
73,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000073_playing volleyball_to_eating cake_Djgz_dNVPjA_000069_000079_bg_M8YUAdP_nSo_000039_000049/000145.jpg,playing volleyball,eating cake,1,20.697200775146484,A person doing playing volleyball at birthday party,23.762113571166992,A person doing eating cake at park
74,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000074_flying kite_to_playing basketball_XIkSWOfhvwE_000001_000011_bg__tLX2urc6I8_000013_000023/000151.jpg,flying kite,playing basketball,1,19.497751235961914,A person doing flying kite at park,21.50751495361328,A person doing playing basketball at beach
75,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000075_surfing water_to_juggling soccer ball_yF3kyTjZuz4_000000_000010_bg_YfF6iqYm6J0_000000_000010/000151.jpg,surfing water,juggling soccer ball,1,17.971450805664062,A person doing surfing water at gymnasium,24.89128303527832,A person doing juggling soccer ball at hawaii
76,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000076_playing accordion_to_climbing a rope_2GhcqTJoEaI_000017_000027_bg_C8_aYXTrthw_000050_000060/000151.jpg,playing accordion,climbing a rope,0,27.10165023803711,A person doing playing accordion at climbing wall,19.300342559814453,A person doing climbing a rope at street corner
