index,img_path,label_A,label_B,clip_choice,prob0,prompt0,prob1,prompt1
14,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000014_bowling_to_eating ice cream_Epp4z1hle48_000033_000043_bg_dxV0ZeVJYAU_000005_000015/000151.jpg,bowling,eating ice cream,0,23.104393005371094,A person doing bowling at beach,21.010488510131836,A person doing eating ice cream at sports complex
15,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000015_cleaning windows_to_clean and jerk_sn2TKS2zqo0_000061_000071_bg_cS3_7_XY4RU_000005_000015/000151.jpg,cleaning windows,clean and jerk,1,25.527359008789062,A person doing cleaning windows at weightlifting competition,27.181581497192383,A person doing clean and jerk at hospital
16,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000016_shooting basketball_to_hurdling_j8i_2Hz1XHA_000003_000013_bg_AYHbK7Ba50A_000078_000088/000151.jpg,shooting basketball,hurdling,1,23.851736068725586,A person doing shooting basketball at stadium,30.975467681884766,A person doing hurdling at schoolyard
17,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000017_smoking_to_deadlifting_JzSw34VjIzo_000032_000042_bg_Zm4jkDRzcZc_000003_000013/000151.jpg,smoking,deadlifting,0,24.214323043823242,A person doing smoking at sports center,23.444805145263672,A person doing deadlifting at balcony
18,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000018_playing trumpet_to_punching person (boxing)_3f9VlqbXH2I_000114_000124_bg_Je5KsM6aUc0_000011_000021/000081.jpg,playing trumpet,punching person (boxing),0,23.04290199279785,A person doing playing trumpet at backyard,21.41026496887207,A person doing punching person (boxing) at marching band
19,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000019_walking the dog_to_dunking basketball_ypl3JWaPnFA_000063_000073_bg_fNvsvkohgY4_000000_000010/000151.jpg,walking the dog,dunking basketball,1,21.259742736816406,A person doing walking the dog at backyard,22.89759063720703,A person doing dunking basketball at park
20,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000020_eating ice cream_to_sword fighting_GQQ3s4O_-HY_000006_000016_bg_VoX60Mfn15k_000007_000017/000151.jpg,eating ice cream,sword fighting,0,19.974435806274414,A person doing eating ice cream at abandoned warehouse,19.055776596069336,A person doing sword fighting at ice cream shop
21,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000021_playing bass guitar_to_brushing hair_qx8eYKeDhmw_000187_000197_bg_gkNaCAQyU_0_000034_000044/000151.jpg,playing bass guitar,brushing hair,0,27.22735023498535,A person doing playing bass guitar at dressing room,22.63115692138672,A person doing brushing hair at home studio
22,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000022_playing basketball_to_climbing ladder_ocJaiKOm55g_000048_000058_bg_YMmESs1QLSM_000005_000015/000151.jpg,playing basketball,climbing ladder,1,26.75093650817871,A person doing playing basketball at warehouse,28.39432144165039,A person doing climbing ladder at basketball court
23,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000023_skipping rope_to_eating cake_GUWR5TyiY-M_000012_000022_bg_4fwEL41mQAs_000000_000010/000151.jpg,skipping rope,eating cake,1,22.241134643554688,A person doing skipping rope at home,22.833280563354492,A person doing eating cake at playground
24,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000024_dunking basketball_to_flying kite_f0H5AVFMHrg_000000_000010_bg_07xOT83TIG4_000040_000050/000151.jpg,dunking basketball,flying kite,1,28.425416946411133,A person doing dunking basketball at park,35.976993560791016,A person doing flying kite at playground
25,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000025_brushing hair_to_playing saxophone_GlykR4fqsVc_000049_000059_bg_rlDGXO3KwO4_000001_000011/000151.jpg,brushing hair,playing saxophone,0,30.331256866455078,A person doing brushing hair at jazz club,22.425825119018555,A person doing playing saxophone at bathroom
26,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000026_walking the dog_to_playing bass guitar_-U1xXJB1AHE_000038_000048_bg_gJFNNbxsCN8_000104_000114/000151.jpg,walking the dog,playing bass guitar,1,25.55172348022461,A person doing walking the dog at music studio,27.37436866760254,A person doing playing bass guitar at trail
27,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000027_archery_to_climbing a rope_MrI8XlHC4p0_000000_000010_bg_1c17xEdMHns_000119_000129/000151.jpg,archery,climbing a rope,0,29.12681770324707,A person doing archery at circus,22.8039493560791,A person doing climbing a rope at forest clearing
28,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000028_climbing ladder_to_canoeing or kayaking_qWr7plHuEtE_000024_000034_bg_2ENSwCFJ07A_000016_000026/000152.jpg,climbing ladder,canoeing or kayaking,1,24.125185012817383,A person doing climbing ladder at bayou,27.823406219482422,A person doing canoeing or kayaking at library
29,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000029_playing volleyball_to_clean and jerk_Pb_R7BUnOQ4_000001_000011_bg_Um05ExTanZQ_000017_000027/000101.jpg,playing volleyball,clean and jerk,1,24.360538482666016,A person doing playing volleyball at weightlifting competition,28.298208236694336,A person doing clean and jerk at park
30,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000030_canoeing or kayaking_to_reading book_YLuft2I6YYc_000092_000102_bg_taZtEzvkg3M_000002_000012/000151.jpg,canoeing or kayaking,reading book,1,16.360965728759766,A person doing canoeing or kayaking at beach,18.046293258666992,A person doing reading book at colorado river
31,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000031_dunking basketball_to_eating cake_i0O61_ndoWo_000002_000012_bg_ktK9w4n_zS0_000018_000028/000121.jpg,dunking basketball,eating cake,1,23.805912017822266,A person doing dunking basketball at birthday party,24.006343841552734,A person doing eating cake at playground
32,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000032_shooting goal (soccer)_to_catching or throwing frisbee_YAmbVR1n56c_000144_000154_bg_MsfeeRqyaa4_000003_000013/000151.jpg,shooting goal (soccer),catching or throwing frisbee,0,30.69223403930664,A person doing shooting goal (soccer) at open field,25.122169494628906,A person doing catching or throwing frisbee at backyard
33,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000033_climbing a rope_to_bowling_M2anYJApuvQ_000000_000010_bg_fmBKCRz3yYk_000328_000338/000151.jpg,climbing a rope,bowling,0,29.571208953857422,A person doing climbing a rope at family entertainment center,26.021406173706055,A person doing bowling at outdoor adventure park
34,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000034_playing accordion_to_canoeing or kayaking_nrF8FOuvACg_000127_000137_bg_FqCVQSDxOSs_000773_000783/000151.jpg,playing accordion,canoeing or kayaking,0,24.36441993713379,A person doing playing accordion at colorado river,19.747360229492188,A person doing canoeing or kayaking at street corner
35,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000035_smoking_to_playing saxophone_QJrRlSn2rV0_000101_000111_bg_osE7Tz4k_gc_000197_000207/000151.jpg,smoking,playing saxophone,1,22.098276138305664,A person doing smoking at street corner,24.389739990234375,A person doing playing saxophone at beach
36,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000036_playing piano_to_driving car_9o68AyEWzcM_000081_000091_bg_tVuop87KbDY_000011_000021/000151.jpg,playing piano,driving car,1,24.242752075195312,A person doing playing piano at highway,25.458559036254883,A person doing driving car at jazz club
37,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000037_brushing teeth_to_deadlifting_Hwuul-R9x_g_000067_000077_bg_U7B_CxhXgYM_000000_000010/000107.jpg,brushing teeth,deadlifting,1,20.366113662719727,A person doing brushing teeth at gym,29.98814582824707,A person doing deadlifting at hotel room
38,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000038_juggling soccer ball_to_driving car_xYnCc5a3nkM_000077_000087_bg_9c8Mi1WYwOs_000116_000126/000151.jpg,juggling soccer ball,driving car,0,25.13522720336914,A person doing juggling soccer ball at parking lot,24.05445671081543,A person doing driving car at beach
39,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000039_shooting goal (soccer)_to_catching or throwing frisbee_iMkymcBJUTE_000075_000085_bg_DR0WB_0vn90_000062_000072/000151.jpg,shooting goal (soccer),catching or throwing frisbee,0,28.591796875,A person doing shooting goal (soccer) at sports field,26.664894104003906,A person doing catching or throwing frisbee at school playground
40,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000040_playing piano_to_eating cake_4mQP7S4EGwg_000020_000030_bg_IRppx8kfVlA_000006_000016/000151.jpg,playing piano,eating cake,0,25.21164321899414,A person doing playing piano at home,24.551742553710938,A person doing eating cake at music studio
41,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000041_opening bottle_to_cleaning windows_eFDcurD-6bY_000077_000087_bg_gmRb11vMatc_000045_000055/000140.jpg,opening bottle,cleaning windows,1,27.658430099487305,A person doing opening bottle at shopping mall,27.902496337890625,A person doing cleaning windows at kitchen
42,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000042_playing bass guitar_to_sword fighting_pfWmvoFOjxk_000148_000158_bg_UCa9gsGh-gI_000003_000013/000151.jpg,playing bass guitar,sword fighting,1,22.643461227416992,A person doing playing bass guitar at beach cove,24.28008460998535,A person doing sword fighting at music studio
43,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000043_surfing water_to_catching or throwing frisbee_r2U-mAIEEYU_000000_000010_bg_FzYUhtv41XY_000041_000051/000151.jpg,surfing water,catching or throwing frisbee,1,20.684511184692383,A person doing surfing water at open field,23.8723087310791,A person doing catching or throwing frisbee at gold coast
44,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000044_shooting basketball_to_archery_xvU1Zt_P97Q_000066_000076_bg_oZ0QUyB18Zg_000178_000188/000151.jpg,shooting basketball,archery,1,28.682064056396484,A person doing shooting basketball at historical reenactment site,32.71957778930664,A person doing archery at basketball court
45,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000045_climbing a rope_to_hurdling_ZzecbRoYQT8_000012_000022_bg_de0NfvOCtno_000021_000031/000151.jpg,climbing a rope,hurdling,1,20.710840225219727,A person doing climbing a rope at park,21.025802612304688,A person doing hurdling at gymnasium
46,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000046_clean and jerk_to_cleaning windows_XPaLzlrN-4o_000004_000014_bg_g_pXkgt618M_000068_000078/000121.jpg,clean and jerk,cleaning windows,0,28.088253021240234,A person doing clean and jerk at shopping mall,28.06511878967285,A person doing cleaning windows at gym
47,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000047_juggling soccer ball_to_skiing (not slalom or crosscountry)_XZivRFQTvuM_000141_000151_bg_wOlm2QBlX6s_000234_000244/000151.jpg,juggling soccer ball,skiing (not slalom or crosscountry),1,25.23900032043457,A person doing juggling soccer ball at banff,28.59133529663086,A person doing skiing (not slalom or crosscountry) at park
48,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000048_eating cake_to_brushing teeth_4EZs8ShkVEk_000092_000102_bg_4LjTObjauus_000022_000032/000151.jpg,eating cake,brushing teeth,1,24.60423469543457,A person doing eating cake at dentist office,26.98876190185547,A person doing brushing teeth at birthday party
49,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000049_shooting goal (soccer)_to_juggling balls_FXN38F_eok4_000038_000048_bg_Nbrtd_o2D8g_000078_000088/000151.jpg,shooting goal (soccer),juggling balls,1,23.920486450195312,A person doing shooting goal (soccer) at park,27.72051429748535,A person doing juggling balls at school playground
50,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000050_sword fighting_to_writing_wC3IpGS5o5U_000017_000027_bg_OrWjyz2bFJQ_000064_000074/000151.jpg,sword fighting,writing,1,19.26523780822754,A person doing sword fighting at university classroom,20.47206687927246,A person doing writing at castle courtyard
51,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000051_skiing slalom_to_bowling_o5K7K_9JqJo_000048_000058_bg_v52Gi2rgV3w_000005_000015/000151.jpg,skiing slalom,bowling,0,31.90106201171875,A person doing skiing slalom at bowling alley,28.666587829589844,A person doing bowling at whistler blackcomb
52,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000052_reading newspaper_to_sweeping floor_-8oPwToqArE_000001_000011_bg_n5ZHSJRZl1U_000002_000012/000151.jpg,reading newspaper,sweeping floor,0,21.15726661682129,A person doing reading newspaper at gym,20.968849182128906,A person doing sweeping floor at library
53,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000053_reading book_to_tying tie_X7CMbcLCq5A_000138_000148_bg_QQp6IfJInQc_000105_000115/000151.jpg,reading book,tying tie,1,22.592241287231445,A person doing reading book at hotel room,25.58193588256836,A person doing tying tie at coffee shop
54,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000054_skiing slalom_to_clean and jerk__YZiOJn1mYg_000010_000020_bg_cS3_7_XY4RU_000005_000015/000151.jpg,skiing slalom,clean and jerk,0,31.49346923828125,A person doing skiing slalom at gym,23.116662979125977,A person doing clean and jerk at aspens
55,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000055_brushing hair_to_dunking basketball_EJfiLph7tJ0_000000_000010_bg_N8L8j0RTFdg_000025_000035/000151.jpg,brushing hair,dunking basketball,1,22.223583221435547,A person doing brushing hair at gymnasium,30.19082260131836,A person doing dunking basketball at salon
56,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000056_playing saxophone_to_dribbling basketball_f8cq1C_NRKc_000076_000086_bg_P9lotgUhYQc_000022_000032/000151.jpg,playing saxophone,dribbling basketball,0,28.29241371154785,A person doing playing saxophone at basketball court,26.911026000976562,A person doing dribbling basketball at music festival
57,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000057_playing piano_to_playing violin_C9boKvSr3kU_000015_000025_bg_ennR61HZSP8_000066_000076/000151.jpg,playing piano,playing violin,1,22.260910034179688,A person doing playing piano at street corner,26.573625564575195,A person doing playing violin at music studio
58,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000058_hitting baseball_to_skiing slalom_mTP2kap9cIw_000056_000066_bg_nK3b9DTxP5w_000366_000376/000151.jpg,hitting baseball,skiing slalom,1,22.81624984741211,A person doing hitting baseball at whistler blackcomb,25.635147094726562,A person doing skiing slalom at baseball field
59,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000059_catching or throwing baseball_to_deadlifting_aU2ByztjE60_000009_000019_bg_wTb_kzlVfUE_000024_000034/000151.jpg,catching or throwing baseball,deadlifting,0,28.111202239990234,A person doing catching or throwing baseball at fitness studio,27.56752586364746,A person doing deadlifting at park
60,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000060_shooting basketball_to_dunking basketball_jnTuUuETpSs_000002_000012_bg_N8L8j0RTFdg_000025_000035/000151.jpg,shooting basketball,dunking basketball,0,26.0718994140625,A person doing shooting basketball at gymnasium,23.729768753051758,A person doing dunking basketball at schoolyard
61,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000061_canoeing or kayaking_to_tying tie_J6YLyBlmkZw_000013_000023_bg_d2owlPKG5bY_000096_000106/000151.jpg,canoeing or kayaking,tying tie,1,18.589475631713867,A person doing canoeing or kayaking at office,25.563457489013672,A person doing tying tie at lake tahoe
62,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000062_playing basketball_to_catching or throwing baseball_3mIvIgAlniY_000001_000011_bg_SzWZQDfymmY_000068_000078/000151.jpg,playing basketball,catching or throwing baseball,0,25.594314575195312,A person doing playing basketball at baseball field,23.691539764404297,A person doing catching or throwing baseball at driveway
63,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000063_playing piano_to_playing tennis_9UJsk6sts_o_000052_000062_bg_n89Vt1KieGw_000003_000013/000151.jpg,playing piano,playing tennis,1,17.528810501098633,A person doing playing piano at community center,22.618562698364258,A person doing playing tennis at school auditorium
64,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000064_smoking_to_juggling balls_3vCRLo5dtNY_000149_000159_bg_1cIrRGn5mmQ_000303_000313/000151.jpg,smoking,juggling balls,0,25.12118911743164,A person doing smoking at beach,21.080646514892578,A person doing juggling balls at park
65,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000065_shooting goal (soccer)_to_sword fighting_2bA0vJGml6Q_000005_000015_bg_VH7Z2Bolvt4_000002_000012/000151.jpg,shooting goal (soccer),sword fighting,0,24.10088539123535,A person doing shooting goal (soccer) at castle courtyard,20.899946212768555,A person doing sword fighting at sports complex
66,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000066_playing saxophone_to_juggling balls_P4w8Ef14Mis_000017_000027_bg_hWn5R3BQBys_000020_000030/000151.jpg,playing saxophone,juggling balls,1,24.886266708374023,A person doing playing saxophone at circus,27.51300621032715,A person doing juggling balls at music festival
67,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000067_walking the dog_to_deadlifting_y3jdPKWjqZY_000004_000014_bg_tAn1JD4xFbc_000007_000017/000151.jpg,walking the dog,deadlifting,1,25.252708435058594,A person doing walking the dog at sports center,29.341121673583984,A person doing deadlifting at park
68,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000068_smoking_to_reading newspaper_LJLymFbDnmk_000155_000165_bg_26N2XO29YU8_000006_000016/000151.jpg,smoking,reading newspaper,0,20.40116310119629,A person doing smoking at library,15.323607444763184,A person doing reading newspaper at rooftop
69,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000069_skiing slalom_to_deadlifting_3I0uO2fwVCk_000020_000030_bg_yzdUyn3sHSs_000006_000016/000111.jpg,skiing slalom,deadlifting,1,23.56785774230957,A person doing skiing slalom at sports center,29.33298683166504,A person doing deadlifting at chamonix
70,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000070_shooting goal (soccer)_to_driving car_vPUFfffOxRM_000000_000010_bg_p6vr6WVh2Ss_000036_000046/000151.jpg,shooting goal (soccer),driving car,1,19.395885467529297,A person doing shooting goal (soccer) at city street,27.686479568481445,A person doing driving car at backyard
71,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000071_dunking basketball_to_skiing (not slalom or crosscountry)_Epm2c6l1Md8_000002_000012_bg_pubHgFrMXUY_000234_000244/000151.jpg,dunking basketball,skiing (not slalom or crosscountry),1,25.097087860107422,A person doing dunking basketball at banff,26.968198776245117,A person doing skiing (not slalom or crosscountry) at backyard
72,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000072_sword fighting_to_playing volleyball_U3bcWXDWICY_000077_000087_bg_ZXvgHRz92h4_000056_000066/000151.jpg,sword fighting,playing volleyball,1,26.172443389892578,A person doing sword fighting at gym,31.60770034790039,A person doing playing volleyball at training arena
73,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000073_playing volleyball_to_eating cake_Djgz_dNVPjA_000069_000079_bg_M8YUAdP_nSo_000039_000049/000145.jpg,playing volleyball,eating cake,1,22.448917388916016,A person doing playing volleyball at home,23.762113571166992,A person doing eating cake at park
74,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000074_flying kite_to_playing basketball_XIkSWOfhvwE_000001_000011_bg__tLX2urc6I8_000013_000023/000151.jpg,flying kite,playing basketball,1,22.887588500976562,A person doing flying kite at basketball court,24.240079879760742,A person doing playing basketball at field
75,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000075_surfing water_to_juggling soccer ball_yF3kyTjZuz4_000000_000010_bg_YfF6iqYm6J0_000000_000010/000151.jpg,surfing water,juggling soccer ball,1,17.371984481811523,A person doing surfing water at park,19.61237144470215,A person doing juggling soccer ball at bondi beach
76,/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000076_playing accordion_to_climbing a rope_2GhcqTJoEaI_000017_000027_bg_C8_aYXTrthw_000050_000060/000151.jpg,playing accordion,climbing a rope,0,24.279993057250977,A person doing playing accordion at gymnasium,19.300342559814453,A person doing climbing a rope at street corner
