full_path,label,choice_1,choice_2,choice_3,choice_4,choice_5,human_choice,choice,choice_is_human
/n/fs/visualai-scr/Data/Mimetics2/tying tie/ZsoPVDvWzLA_000019_000029,tying tie,playing guitar,tying tie,golf driving,catching or throwing frisbee,playing volleyball,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/tying tie/ktaZ7IRhifs_000020_000024,tying tie,eating cake,tying tie,writing,smoking,hitting baseball,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/skiing slalom/KISD1YRTeCk_000095_000105,skiing slalom,reading newspaper,smoking,skiing slalom,playing guitar,dribbling basketball,3,E,False
/n/fs/visualai-scr/Data/Mimetics2/skiing slalom/xB5O3xFxm5Y_000045_000055,skiing slalom,eating cake,brushing teeth,sweeping floor,skiing slalom,deadlifting,4,C,False
/n/fs/visualai-scr/Data/Mimetics2/brushing hair/DuXviwv7VBM_000063_000070,brushing hair,playing accordion,brushing hair,dunking basketball,reading newspaper,playing basketball,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/brushing hair/EfVGZBDtC1c_000085_000092,brushing hair,brushing hair,smoking,dribbling basketball,canoeing or kayaking,walking the dog,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/brushing hair/A2Pvv6y0jOw_000003_000012,brushing hair,cleaning windows,climbing ladder,brushing hair,deadlifting,sword fighting,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/brushing hair/RXUC8ebzAEI_000123_000133,brushing hair,skiing (not slalom or crosscountry),brushing hair,playing basketball,flying kite,bowling,2,A,False
/n/fs/visualai-scr/Data/Mimetics2/brushing hair/MNj1VOYinX0_000063_000073,brushing hair,climbing a rope,playing basketball,hitting baseball,playing guitar,brushing hair,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/punching person (boxing)/dGFYRCvR_II_000197_000199,punching person (boxing),skiing (not slalom or crosscountry),sweeping floor,punching person (boxing),writing,playing basketball,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/punching person (boxing)/wPwRnIwXWNA_000171_000175,punching person (boxing),golf driving,juggling balls,punching person (boxing),sweeping floor,opening bottle,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/punching person (boxing)/gYZbufD61Og_000214_000216,punching person (boxing),climbing ladder,punching person (boxing),skiing slalom,juggling soccer ball,canoeing or kayaking,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/punching person (boxing)/SdY0GFiME2c_000396_000399,punching person (boxing),playing bass guitar,brushing teeth,punching person (boxing),sword fighting,skiing slalom,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/playing accordion/LfceW5releU_000002_000004,playing accordion,playing accordion,reading newspaper,punching person (boxing),reading book,surfing water,1,C,False
/n/fs/visualai-scr/Data/Mimetics2/playing accordion/vDonJJgnI0w_000010_000020,playing accordion,sweeping floor,surfing water,playing basketball,playing violin,playing accordion,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/playing accordion/USAL4OpwJ-w_000020_000030,playing accordion,dunking basketball,playing accordion,tying tie,catching or throwing frisbee,sweeping floor,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/archery/SHVMWGGAkGQ_000104_000109,archery,driving car,brushing teeth,cleaning windows,catching or throwing frisbee,archery,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/archery/ci9pKRJWueg_000048_000056,archery,clean and jerk,canoeing or kayaking,archery,playing tennis,golf driving,3,E,False
/n/fs/visualai-scr/Data/Mimetics2/archery/x58YK75ijjY_000021_000030,archery,brushing teeth,clean and jerk,eating ice cream,archery,playing trumpet,4,B,False
/n/fs/visualai-scr/Data/Mimetics2/archery/GZWM9or9AhM_000040_000044,archery,opening bottle,playing trumpet,archery,brushing teeth,writing,3,B,False
/n/fs/visualai-scr/Data/Mimetics2/archery/kQIZjktFIWY_000165_000168,archery,playing bass guitar,playing basketball,archery,smoking,drinking,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/catching or throwing frisbee/GdKK42PIcB0_000081_000084,catching or throwing frisbee,shooting goal (soccer),playing trumpet,smoking,playing saxophone,catching or throwing frisbee,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/catching or throwing frisbee/RQkSoH9WTks_000029_000031,catching or throwing frisbee,catching or throwing frisbee,climbing a rope,climbing ladder,walking the dog,eating ice cream,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/catching or throwing frisbee/TazunpSKrq0_000073_000076,catching or throwing frisbee,punching person (boxing),eating cake,catching or throwing frisbee,climbing ladder,sword fighting,3,A,False
/n/fs/visualai-scr/Data/Mimetics2/drinking/JV3qQldC1eg_000399_000402,drinking,skiing slalom,juggling balls,shooting goal (soccer),playing volleyball,drinking,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/drinking/UinTEeZHWas_000028_000033,drinking,playing basketball,punching person (boxing),drinking,sweeping floor,juggling soccer ball,3,B,False
/n/fs/visualai-scr/Data/Mimetics2/drinking/Q6g6dU0IgBU_000005_000010,drinking,eating cake,reading newspaper,climbing a rope,drinking,shooting goal (soccer),4,D,True
/n/fs/visualai-scr/Data/Mimetics2/drinking/C_zr0Kq_qfg_000069_000071,drinking,climbing ladder,punching person (boxing),skiing slalom,walking the dog,drinking,5,B,False
/n/fs/visualai-scr/Data/Mimetics2/drinking/ftRFY6vUIEw_000235_000240,drinking,drinking,smoking,eating ice cream,skipping rope,clean and jerk,1,B,False
/n/fs/visualai-scr/Data/Mimetics2/drinking/JV3qQldC1eg_000390_000391,drinking,playing piano,brushing teeth,writing,walking the dog,drinking,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/drinking/TGhDWDW7WhY_000562_000567,drinking,drinking,punching person (boxing),hitting baseball,playing guitar,skiing (not slalom or crosscountry),1,A,True
/n/fs/visualai-scr/Data/Mimetics2/reading book/KSFnKPS3Ol8_000064_000068,reading book,playing violin,canoeing or kayaking,climbing a rope,playing guitar,reading book,5,A,False
/n/fs/visualai-scr/Data/Mimetics2/reading book/L71DUOPJn88_000242_000245,reading book,playing saxophone,reading book,deadlifting,reading newspaper,playing trumpet,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/eating ice cream/5bAFqsG37C0_000000_000008,eating ice cream,deadlifting,eating ice cream,eating cake,juggling soccer ball,playing saxophone,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/eating ice cream/QDs8zNsJVUI_000000_000006,eating ice cream,shooting basketball,playing violin,eating ice cream,shooting goal (soccer),juggling soccer ball,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/eating ice cream/EUHjIrtQvms_000002_000008,eating ice cream,shooting basketball,eating ice cream,hurdling,catching or throwing frisbee,bowling,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/flying kite/xwOp2GJ3kDI_000234_000239,flying kite,archery,skiing slalom,skipping rope,flying kite,playing tennis,4,C,False
/n/fs/visualai-scr/Data/Mimetics2/flying kite/eF5Yv3U1UaY_000150_000153,flying kite,juggling soccer ball,playing volleyball,flying kite,eating cake,drinking,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/flying kite/Kc7a47NaUrU_000001_000009,flying kite,flying kite,cleaning windows,skipping rope,playing basketball,skiing (not slalom or crosscountry),1,E,False
/n/fs/visualai-scr/Data/Mimetics2/sweeping floor/E8JBLVSuOPM_000102_000106,sweeping floor,skiing (not slalom or crosscountry),playing bass guitar,bowling,reading newspaper,sweeping floor,5,A,False
/n/fs/visualai-scr/Data/Mimetics2/sweeping floor/jxHnpPtlGfM_000000_000002,sweeping floor,smoking,sweeping floor,playing saxophone,canoeing or kayaking,skiing slalom,2,A,False
/n/fs/visualai-scr/Data/Mimetics2/walking the dog/1lukUCL5pS4_000270_000277,walking the dog,driving car,juggling balls,sweeping floor,drinking,walking the dog,5,C,False
/n/fs/visualai-scr/Data/Mimetics2/walking the dog/_qs0XOPOp5U_000166_000174,walking the dog,deadlifting,walking the dog,playing basketball,climbing ladder,canoeing or kayaking,2,A,False
/n/fs/visualai-scr/Data/Mimetics2/walking the dog/PVwuEaln_6E_000022_000032,walking the dog,walking the dog,climbing ladder,golf driving,eating cake,writing,1,C,False
/n/fs/visualai-scr/Data/Mimetics2/walking the dog/cGt5BblpKvQ_000047_000053,walking the dog,walking the dog,shooting basketball,punching person (boxing),playing violin,drinking,1,B,False
/n/fs/visualai-scr/Data/Mimetics2/skipping rope/MeIPJuWWznc_000042_000052,skipping rope,skipping rope,eating cake,playing guitar,cleaning windows,playing violin,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/skipping rope/zvR84iiKECs_000013_000018,skipping rope,playing volleyball,skipping rope,surfing water,playing bass guitar,reading book,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/skipping rope/vjy05xjkgkg_000006_000010,skipping rope,climbing ladder,clean and jerk,skipping rope,tying tie,writing,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/clean and jerk/RWLqaD9v6N8_000204_000208,clean and jerk,drinking,eating cake,eating ice cream,clean and jerk,playing bass guitar,4,D,True
/n/fs/visualai-scr/Data/Mimetics2/clean and jerk/AhuE6ybVnh0_000353_000363,clean and jerk,clean and jerk,playing volleyball,shooting goal (soccer),opening bottle,playing basketball,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/clean and jerk/KHafHqcY0zM_000184_000187,clean and jerk,cleaning windows,flying kite,playing piano,playing accordion,clean and jerk,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/eating cake/kGpDLyc59ik_000320_000330,eating cake,playing tennis,dribbling basketball,playing volleyball,catching or throwing frisbee,eating cake,5,D,False
/n/fs/visualai-scr/Data/Mimetics2/eating cake/N4WKMa_KKYc_000001_000003,eating cake,eating cake,climbing ladder,punching person (boxing),playing volleyball,dribbling basketball,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/eating cake/COppfZLpk-8_000065_000075,eating cake,surfing water,eating cake,playing violin,hurdling,archery,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/eating cake/c-DsvJAjK0w_000050_000057,eating cake,dribbling basketball,eating cake,playing piano,walking the dog,hitting baseball,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/eating cake/TdGVBQbBTbo_000011_000018,eating cake,climbing a rope,eating cake,flying kite,walking the dog,skipping rope,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/catching or throwing baseball/NAkrjA7GR84_000029_000031,catching or throwing baseball,playing accordion,eating ice cream,catching or throwing baseball,driving car,punching person (boxing),3,C,True
/n/fs/visualai-scr/Data/Mimetics2/catching or throwing baseball/bodvGG0lOFY_000118_000119,catching or throwing baseball,skiing (not slalom or crosscountry),shooting basketball,playing volleyball,catching or throwing baseball,reading newspaper,4,D,True
/n/fs/visualai-scr/Data/Mimetics2/catching or throwing baseball/YREQPADOWnM_000128_000130,catching or throwing baseball,playing trumpet,catching or throwing baseball,driving car,playing tennis,bowling,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/catching or throwing baseball/mwRu5ngESZc_000026_000027,catching or throwing baseball,clean and jerk,catching or throwing baseball,driving car,juggling soccer ball,dunking basketball,2,A,False
/n/fs/visualai-scr/Data/Mimetics2/skiing (not slalom or crosscountry)/dNmYajS1Gng_000050_000059,skiing (not slalom or crosscountry),skiing (not slalom or crosscountry),walking the dog,bowling,canoeing or kayaking,playing piano,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/skiing (not slalom or crosscountry)/UV6cW4NoVhw_000018_000028,skiing (not slalom or crosscountry),archery,playing volleyball,golf driving,skiing (not slalom or crosscountry),punching person (boxing),4,D,True
/n/fs/visualai-scr/Data/Mimetics2/juggling soccer ball/80C5dnlGtiY_000004_000009,juggling soccer ball,sword fighting,punching person (boxing),juggling soccer ball,tying tie,canoeing or kayaking,3,B,False
/n/fs/visualai-scr/Data/Mimetics2/juggling soccer ball/MuHA3dDr5JI_000008_000010,juggling soccer ball,juggling soccer ball,reading book,driving car,playing volleyball,eating cake,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/juggling soccer ball/9AbZIwq7qJU_000000_000003,juggling soccer ball,dunking basketball,tying tie,shooting basketball,juggling soccer ball,sweeping floor,4,C,False
/n/fs/visualai-scr/Data/Mimetics2/juggling soccer ball/j11ARKpK-8Q_000020_000022,juggling soccer ball,skiing (not slalom or crosscountry),eating ice cream,sword fighting,playing basketball,juggling soccer ball,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/juggling soccer ball/80C5dnlGtiY_000021_000025,juggling soccer ball,flying kite,juggling soccer ball,shooting goal (soccer),playing accordion,bowling,2,C,False
/n/fs/visualai-scr/Data/Mimetics2/deadlifting/ipB9C6YuxUI_000000_000003,deadlifting,juggling balls,playing volleyball,deadlifting,playing tennis,reading book,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/deadlifting/pn1dt2YD46s_000033_000035,deadlifting,playing trumpet,archery,skiing slalom,clean and jerk,deadlifting,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/driving car/Ous_8Cm7G1s_000213_000223,driving car,climbing a rope,drinking,driving car,cleaning windows,playing basketball,3,A,False
/n/fs/visualai-scr/Data/Mimetics2/driving car/lIrkASGtoz8_000038_000046,driving car,juggling balls,playing bass guitar,brushing hair,smoking,driving car,5,A,False
/n/fs/visualai-scr/Data/Mimetics2/driving car/aGZL2rw-qtk_000030_000040,driving car,playing basketball,writing,climbing ladder,driving car,juggling soccer ball,4,C,False
/n/fs/visualai-scr/Data/Mimetics2/driving car/MFWgsGsKGMQ_000182_000188,driving car,canoeing or kayaking,driving car,hitting baseball,skiing slalom,juggling soccer ball,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/cleaning windows/tJVNul1R24o_000073_000081,cleaning windows,cleaning windows,dribbling basketball,golf driving,sword fighting,walking the dog,1,C,False
/n/fs/visualai-scr/Data/Mimetics2/cleaning windows/fhIOg7xMQlA_000068_000073,cleaning windows,walking the dog,playing trumpet,eating cake,cleaning windows,golf driving,4,B,False
/n/fs/visualai-scr/Data/Mimetics2/cleaning windows/4pfixAOJK_c_000035_000045,cleaning windows,dunking basketball,cleaning windows,flying kite,playing volleyball,juggling balls,2,E,False
/n/fs/visualai-scr/Data/Mimetics2/cleaning windows/twz6DMLXS4U_000021_000031,cleaning windows,cleaning windows,catching or throwing frisbee,playing piano,reading book,eating cake,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/shooting basketball/o1q2BURthvU_000151_000152,shooting basketball,walking the dog,playing tennis,playing violin,smoking,shooting basketball,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/shooting basketball/sByIMfW6aI0_000009_000011,shooting basketball,shooting basketball,playing violin,cleaning windows,playing piano,golf driving,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/shooting basketball/nd4TpqEJwEs_000133_000135,shooting basketball,skipping rope,shooting basketball,bowling,tying tie,surfing water,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/shooting basketball/wILLcjlT58U_000008_000010,shooting basketball,shooting basketball,juggling soccer ball,clean and jerk,climbing ladder,playing trumpet,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/shooting basketball/Sjmcire2g88_000141_000144,shooting basketball,skiing (not slalom or crosscountry),playing volleyball,shooting basketball,walking the dog,playing tennis,3,A,False
/n/fs/visualai-scr/Data/Mimetics2/canoeing or kayaking/c2Cl52b3A7g_000005_000015,canoeing or kayaking,eating cake,drinking,canoeing or kayaking,golf driving,brushing hair,3,D,False
/n/fs/visualai-scr/Data/Mimetics2/canoeing or kayaking/1Ng5ULurhh4_000180_000190,canoeing or kayaking,hurdling,walking the dog,canoeing or kayaking,opening bottle,golf driving,3,E,False
/n/fs/visualai-scr/Data/Mimetics2/canoeing or kayaking/TGK0SkDTDrE_000003_000006,canoeing or kayaking,skipping rope,juggling soccer ball,catching or throwing frisbee,canoeing or kayaking,eating ice cream,4,A,False
/n/fs/visualai-scr/Data/Mimetics2/canoeing or kayaking/DbAA2Xb3dcU_000050_000060,canoeing or kayaking,canoeing or kayaking,brushing teeth,playing violin,walking the dog,playing saxophone,1,B,False
/n/fs/visualai-scr/Data/Mimetics2/surfing water/fKtaBkCHwpU_000005_000007,surfing water,surfing water,playing guitar,skiing slalom,skipping rope,juggling balls,1,D,False
/n/fs/visualai-scr/Data/Mimetics2/surfing water/eMXo3QIsFQo_000212_000216,surfing water,sweeping floor,brushing teeth,catching or throwing frisbee,opening bottle,surfing water,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/playing volleyball/feX4zhOfjX4_000090_000100,playing volleyball,juggling balls,hitting baseball,playing bass guitar,playing basketball,playing volleyball,5,A,False
/n/fs/visualai-scr/Data/Mimetics2/playing volleyball/uiup9wdVzw0_000020_000024,playing volleyball,playing volleyball,playing violin,flying kite,tying tie,brushing hair,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/playing volleyball/Fz97Mmtozcg_000014_000016,playing volleyball,canoeing or kayaking,playing trumpet,shooting basketball,playing volleyball,clean and jerk,4,D,True
/n/fs/visualai-scr/Data/Mimetics2/opening bottle/JV3qQldC1eg_000375_000379,opening bottle,hitting baseball,reading book,sweeping floor,dunking basketball,opening bottle,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/opening bottle/gFhirwb2vtk_000058_000068,opening bottle,opening bottle,playing violin,playing basketball,playing guitar,archery,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/opening bottle/1LBm1M3DBNY_000087_000089,opening bottle,skipping rope,climbing a rope,opening bottle,eating ice cream,playing saxophone,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/playing piano/vg8js-NANDo_000020_000030,playing piano,climbing ladder,hitting baseball,playing piano,playing trumpet,sweeping floor,3,E,False
/n/fs/visualai-scr/Data/Mimetics2/playing piano/yZurS3ExCPk_000027_000037,playing piano,playing basketball,playing accordion,walking the dog,sword fighting,playing piano,5,B,False
/n/fs/visualai-scr/Data/Mimetics2/playing piano/oiGd1Q7mm-w_000070_000080,playing piano,playing piano,playing tennis,canoeing or kayaking,surfing water,brushing hair,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/playing piano/TdX-4k1C0FE_000025_000030,playing piano,playing piano,canoeing or kayaking,playing saxophone,tying tie,smoking,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/writing/prstk5Ol85U_000010_000011,writing,eating ice cream,bowling,tying tie,writing,playing bass guitar,4,C,False
/n/fs/visualai-scr/Data/Mimetics2/writing/rDr3LnYDK7g_000113_000115,writing,playing saxophone,writing,juggling balls,catching or throwing frisbee,dunking basketball,2,C,False
/n/fs/visualai-scr/Data/Mimetics2/writing/rDr3LnYDK7g_000120_000122,writing,opening bottle,shooting basketball,playing trumpet,hitting baseball,writing,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/dribbling basketball/o1q2BURthvU_000063_000073,dribbling basketball,dribbling basketball,climbing ladder,skiing slalom,eating cake,catching or throwing baseball,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/dribbling basketball/lSxv5M4-8tE_000031_000039,dribbling basketball,climbing ladder,driving car,skipping rope,dribbling basketball,dunking basketball,4,D,True
/n/fs/visualai-scr/Data/Mimetics2/dribbling basketball/xv60PJOPVgg_000057_000058,dribbling basketball,brushing hair,eating cake,sweeping floor,dribbling basketball,driving car,4,D,True
/n/fs/visualai-scr/Data/Mimetics2/dribbling basketball/JSIMsw3NrGM_000058_000063,dribbling basketball,dribbling basketball,cleaning windows,writing,drinking,brushing teeth,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/dribbling basketball/wILLcjlT58U_000001_000004,dribbling basketball,dribbling basketball,brushing teeth,reading book,dunking basketball,walking the dog,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/reading newspaper/aTSVeNeJxog_000051_000057,reading newspaper,brushing hair,reading newspaper,opening bottle,playing tennis,bowling,2,A,False
/n/fs/visualai-scr/Data/Mimetics2/reading newspaper/COppfZLpk-8_000050_000060,reading newspaper,playing violin,playing guitar,cleaning windows,clean and jerk,reading newspaper,5,D,False
/n/fs/visualai-scr/Data/Mimetics2/playing violin/scZvLstzkig_000000_000010,playing violin,playing violin,playing accordion,brushing hair,opening bottle,sword fighting,1,B,False
/n/fs/visualai-scr/Data/Mimetics2/playing violin/GgOXsW06EYE_000003_000010,playing violin,reading newspaper,flying kite,playing violin,surfing water,playing volleyball,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/playing violin/zbx22vdGsiI_000176_000181,playing violin,cleaning windows,playing basketball,playing violin,walking the dog,catching or throwing baseball,3,E,False
/n/fs/visualai-scr/Data/Mimetics2/playing violin/Lci2M22ywSg_000000_000010,playing violin,playing violin,clean and jerk,climbing ladder,golf driving,playing trumpet,1,B,False
/n/fs/visualai-scr/Data/Mimetics2/playing violin/1LBm1M3DBNY_000030_000040,playing violin,playing violin,catching or throwing baseball,skiing (not slalom or crosscountry),reading newspaper,dunking basketball,1,C,False
/n/fs/visualai-scr/Data/Mimetics2/juggling balls/kr8KU7N93dw_000003_000006,juggling balls,playing tennis,juggling balls,playing violin,drinking,flying kite,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/juggling balls/aoNi9Im_Iio_000134_000136,juggling balls,eating cake,juggling balls,hurdling,climbing a rope,playing volleyball,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/juggling balls/E-Bnewo247E_000004_000005,juggling balls,punching person (boxing),opening bottle,juggling balls,playing saxophone,playing piano,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/playing trumpet/fG8aSj5ttKg_000000_000009,playing trumpet,playing guitar,playing trumpet,writing,surfing water,skiing slalom,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/playing trumpet/z6woHuuwl1o_000000_000010,playing trumpet,playing basketball,playing trumpet,playing volleyball,sweeping floor,catching or throwing baseball,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/playing trumpet/yKwAi-1opzU_000023_000026,playing trumpet,catching or throwing baseball,playing trumpet,deadlifting,dribbling basketball,playing bass guitar,2,A,False
/n/fs/visualai-scr/Data/Mimetics2/playing trumpet/mePrNsy72Yg_000000_000010,playing trumpet,flying kite,playing trumpet,hitting baseball,shooting goal (soccer),playing basketball,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/smoking/QHy1zMKfbmY_000034_000038,smoking,skiing slalom,shooting basketball,hitting baseball,dunking basketball,smoking,5,E,True
/n/fs/visualai-scr/Data/Mimetics2/smoking/EkxyU6gC0zQ_000136_000146,smoking,smoking,eating cake,bowling,brushing teeth,playing saxophone,1,B,False
/n/fs/visualai-scr/Data/Mimetics2/smoking/kGpDLyc59ik_000041_000051,smoking,writing,flying kite,smoking,playing accordion,cleaning windows,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/smoking/o4jvz4kSC7E_000080_000081,smoking,playing bass guitar,smoking,shooting goal (soccer),deadlifting,tying tie,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/shooting goal (soccer)/bFzzcjXUnD8_000002_000005,shooting goal (soccer),eating ice cream,shooting goal (soccer),sweeping floor,surfing water,hitting baseball,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/shooting goal (soccer)/ffBqvOzUU_A_000088_000090,shooting goal (soccer),playing bass guitar,skipping rope,dribbling basketball,shooting goal (soccer),surfing water,4,D,True
/n/fs/visualai-scr/Data/Mimetics2/shooting goal (soccer)/Z2_P2eLs-oY_000094_000095,shooting goal (soccer),shooting basketball,shooting goal (soccer),juggling balls,hitting baseball,clean and jerk,2,B,True
/n/fs/visualai-scr/Data/Mimetics2/shooting goal (soccer)/dbn_Nc3G8jA_000004_000006,shooting goal (soccer),shooting goal (soccer),deadlifting,flying kite,playing volleyball,skiing slalom,1,A,True
/n/fs/visualai-scr/Data/Mimetics2/hitting baseball/TRcCyetKj0o_000115_000116,hitting baseball,playing tennis,climbing ladder,hitting baseball,skipping rope,bowling,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/hitting baseball/n98HEowTnkQ_000011_000012,hitting baseball,skipping rope,opening bottle,hitting baseball,hurdling,playing trumpet,3,C,True
/n/fs/visualai-scr/Data/Mimetics2/hitting baseball/eMXo3QIsFQo_000114_000116,hitting baseball,dunking basketball,playing bass guitar,sweeping floor,hitting baseball,smoking,4,D,True
