action_swap_path,frame_num,label_A,label_B,predicted_label,predicted_score,human_action_rank,human_action_score,background_action_rank,background_action_score,human_top1,human_top5,background_top1,background_top5,background_wins,ranking_gap,score_gap,top10_predictions
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000064_smoking_to_juggling balls_3vCRLo5dtNY_000149_000159_bg_1cIrRGn5mmQ_000303_000313,150.0,smoking,juggling balls,smoking,0.3155014216899872,1,0.3155014216899872,15,0.006955260876566172,True,True,False,False,False,14,-0.308546160813421,"['smoking', 'drinking', 'playing trumpet', 'eating ice cream', 'cleaning windows', 'opening bottle', 'eating cake', 'reading newspaper', 'playing accordion', 'brushing teeth']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000068_smoking_to_reading newspaper_LJLymFbDnmk_000155_000165_bg_26N2XO29YU8_000006_000016,150.0,smoking,reading newspaper,opening bottle,0.5166465044021606,6,0.024247491732239723,25,0.0005563973099924624,False,False,False,False,False,19,-0.02369109442224726,"['opening bottle', 'eating cake', 'eating ice cream', 'drinking', 'juggling balls', 'smoking', 'tying tie', 'brushing teeth', 'juggling soccer ball', 'playing accordion']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000072_sword fighting_to_playing volleyball_U3bcWXDWICY_000077_000087_bg_ZXvgHRz92h4_000056_000066,150.0,sword fighting,playing volleyball,playing volleyball,0.479790061712265,18,0.0027347963768988848,1,0.479790061712265,False,False,True,True,True,-17,0.47705526533536613,"['playing volleyball', 'shooting goal (soccer)', 'juggling soccer ball', 'dribbling basketball', 'shooting basketball', 'playing basketball', 'juggling balls', 'skipping rope', 'playing tennis', 'punching person (boxing)']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000076_playing accordion_to_climbing a rope_2GhcqTJoEaI_000017_000027_bg_C8_aYXTrthw_000050_000060,150.0,playing accordion,climbing a rope,sword fighting,0.3972659409046173,2,0.15285789966583252,11,0.00894674751907587,False,True,False,False,False,9,-0.14391115214675665,"['sword fighting', 'playing accordion', 'punching person (boxing)', 'playing violin', 'brushing hair', 'tying tie', 'opening bottle', 'skipping rope', 'juggling balls', 'climbing ladder']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000080_canoeing or kayaking_to_driving car_Fhj3gXyUukk_000330_000340_bg_8yRWHKGwKk4_000002_000012,150.0,canoeing or kayaking,driving car,climbing a rope,0.13774293661117554,20,0.013556831516325474,3,0.0855436697602272,False,False,False,True,True,-17,0.07198683824390173,"['climbing a rope', 'hurdling', 'driving car', 'juggling soccer ball', 'catching or throwing frisbee', 'opening bottle', 'climbing ladder', 'dunking basketball', 'walking the dog', 'skipping rope']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000084_punching person (boxing)_to_drinking_JosqyNGpXfs_000208_000218_bg_gaj407eSdSs_000000_000010,150.0,punching person (boxing),drinking,surfing water,0.2324068695306778,3,0.16346408426761627,7,0.023095205426216125,False,True,False,False,False,4,-0.14036887884140015,"['surfing water', 'sword fighting', 'punching person (boxing)', 'dunking basketball', 'playing basketball', 'driving car', 'drinking', 'dribbling basketball', 'skipping rope', 'opening bottle']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000088_catching or throwing baseball_to_juggling soccer ball_-LZ6lnyP0BQ_000102_000112_bg_yTs5t9Jas6E_000045_000055,150.0,catching or throwing baseball,juggling soccer ball,juggling soccer ball,0.6783199906349182,9,0.006285656709223986,1,0.6783199906349182,False,False,True,True,True,-8,0.6720343339256942,"['juggling soccer ball', 'shooting goal (soccer)', 'juggling balls', 'playing volleyball', 'dunking basketball', 'playing basketball', 'dribbling basketball', 'shooting basketball', 'catching or throwing baseball', 'hitting baseball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000092_dunking basketball_to_playing accordion_Bl28qY8T6NA_000045_000055_bg_2GhcqTJoEaI_000017_000027,150.0,dunking basketball,playing accordion,playing accordion,0.248777374625206,3,0.08923409879207611,1,0.248777374625206,False,True,True,True,True,-2,0.15954327583312988,"['playing accordion', 'playing trumpet', 'dunking basketball', 'playing violin', 'sword fighting', 'playing piano', 'clean and jerk', 'skipping rope', 'playing saxophone', 'juggling balls']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000096_brushing hair_to_sweeping floor_aXPsBVPYG_I_000029_000039_bg_6s3LjZShb00_000003_000013,150.0,brushing hair,sweeping floor,juggling balls,0.25735658407211304,19,0.011592931114137173,22,0.008302194066345692,False,False,False,False,False,3,-0.003290737047791481,"['juggling balls', 'juggling soccer ball', 'punching person (boxing)', 'bowling', 'playing accordion', 'playing guitar', 'playing bass guitar', 'eating cake', 'sword fighting', 'drinking']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000100_playing basketball_to_playing trumpet_swuIzEjpmak_000340_000350_bg_7mpX78LIkVM_000045_000055,150.0,playing basketball,playing trumpet,shooting goal (soccer),0.23550857603549957,2,0.10543127357959747,20,0.002485495526343584,False,True,False,False,False,18,-0.10294577805325389,"['shooting goal (soccer)', 'playing basketball', 'juggling soccer ball', 'shooting basketball', 'dribbling basketball', 'dunking basketball', 'playing volleyball', 'hurdling', 'bowling', 'skipping rope']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000104_playing accordion_to_climbing a rope_UBvJD2xjtvY_000000_000010_bg_M0BedpP3Ya4_000017_000027,150.0,playing accordion,climbing a rope,punching person (boxing),0.5386999845504761,25,0.0034036252181977034,11,0.012816905975341797,False,False,False,False,True,-14,0.009413280757144094,"['punching person (boxing)', 'juggling soccer ball', 'skipping rope', 'cleaning windows', 'juggling balls', 'skiing slalom', 'clean and jerk', 'sword fighting', 'skiing (not slalom or crosscountry)', 'bowling']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000108_playing accordion_to_sweeping floor_OtUxN7tXEXU_000049_000059_bg_8ddV4PIuIBs_000082_000092,150.0,playing accordion,sweeping floor,juggling soccer ball,0.5021874904632568,11,0.0017143340082839131,15,0.00148595473729074,False,False,False,False,False,4,-0.00022837927099317312,"['juggling soccer ball', 'juggling balls', 'shooting goal (soccer)', 'dribbling basketball', 'skipping rope', 'opening bottle', 'bowling', 'playing volleyball', 'playing basketball', 'playing piano']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000112_punching person (boxing)_to_playing trumpet_cuoqBzkii1Q_000094_000104_bg_is8kacH7dUg_000022_000032,150.0,punching person (boxing),playing trumpet,punching person (boxing),0.9810290932655334,1,0.9810290932655334,34,3.0944254831410944e-05,True,True,False,False,False,33,-0.980998149010702,"['punching person (boxing)', 'sword fighting', 'smoking', 'hurdling', 'sweeping floor', 'tying tie', 'climbing a rope', 'dunking basketball', 'shooting basketball', 'opening bottle']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000116_tying tie_to_juggling balls_C15qK3MFWLk_000001_000011_bg_iO6MiUbydaY_000064_000074,150.0,tying tie,juggling balls,tying tie,0.9903299808502197,1,0.9903299808502197,4,0.0008561967988498509,True,True,False,True,False,3,-0.9894737840513699,"['tying tie', 'playing accordion', 'playing piano', 'juggling balls', 'playing saxophone', 'playing violin', 'brushing teeth', 'writing', 'juggling soccer ball', 'opening bottle']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000120_surfing water_to_smoking_3tKrqlMI8ZU_000053_000063_bg_SrIotBfD6BY_000001_000011,150.0,surfing water,smoking,cleaning windows,0.5891659259796143,30,0.0011745698284357786,18,0.006190058775246143,False,False,False,False,True,-12,0.005015488946810365,"['cleaning windows', 'climbing ladder', 'flying kite', 'climbing a rope', 'catching or throwing baseball', 'shooting basketball', 'shooting goal (soccer)', 'skiing (not slalom or crosscountry)', 'hitting baseball', 'tying tie']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000124_climbing ladder_to_archery_n5Fr76ZUlrM_000004_000014_bg_pWOl7B7jf0U_000000_000010,150.0,climbing ladder,archery,climbing a rope,0.20624147355556488,16,0.01027548499405384,2,0.1841897964477539,False,False,False,True,True,-14,0.17391431145370007,"['climbing a rope', 'archery', 'walking the dog', 'skipping rope', 'juggling soccer ball', 'sword fighting', 'hitting baseball', 'golf driving', 'shooting goal (soccer)', 'juggling balls']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000128_opening bottle_to_juggling soccer ball_GoFJb86v1pg_000000_000010_bg_44oF-GJ3JYQ_000011_000021,151.0,opening bottle,juggling soccer ball,brushing hair,0.1703757643699646,3,0.07133040577173233,4,0.05893702805042267,False,True,False,True,False,1,-0.012393377721309662,"['brushing hair', 'eating ice cream', 'opening bottle', 'juggling soccer ball', 'skipping rope', 'brushing teeth', 'punching person (boxing)', 'sword fighting', 'drinking', 'climbing a rope']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000132_shooting goal (soccer)_to_opening bottle_JCwEbNqgn2k_000042_000052_bg_b2KnqbubIB8_000055_000065,150.0,shooting goal (soccer),opening bottle,punching person (boxing),0.3138635456562042,7,0.026264715939760208,32,0.0016008748207241297,False,False,False,False,False,25,-0.02466384111903608,"['punching person (boxing)', 'juggling balls', 'skipping rope', 'juggling soccer ball', 'climbing a rope', 'climbing ladder', 'shooting goal (soccer)', 'flying kite', 'dunking basketball', 'dribbling basketball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000136_smoking_to_playing guitar_QJrRlSn2rV0_000101_000111_bg_MrSMr3S3lE0_000090_000100,150.0,smoking,playing guitar,smoking,0.4059502184391022,1,0.4059502184391022,3,0.07482530921697617,True,True,False,True,False,2,-0.331124909222126,"['smoking', 'brushing teeth', 'playing guitar', 'eating ice cream', 'eating cake', 'opening bottle', 'brushing hair', 'playing saxophone', 'playing trumpet', 'drinking']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000140_reading newspaper_to_reading book_mAdH0EhOdPI_000002_000012_bg_gSXPZXHgzhU_000000_000010,150.0,reading newspaper,reading book,reading newspaper,0.22695329785346985,1,0.22695329785346985,7,0.036488354206085205,True,True,False,False,False,6,-0.19046494364738464,"['reading newspaper', 'playing violin', 'playing piano', 'skipping rope', 'brushing teeth', 'tying tie', 'reading book', 'playing guitar', 'brushing hair', 'eating cake']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000144_smoking_to_opening bottle_YIlr1ABiWzY_001171_001181_bg_ENwDLQTkIlQ_000001_000011,150.0,smoking,opening bottle,smoking,0.13105720281600952,1,0.13105720281600952,11,0.031245999038219452,True,True,False,False,False,10,-0.09981120377779007,"['smoking', 'climbing a rope', 'juggling balls', 'drinking', 'juggling soccer ball', 'hitting baseball', 'cleaning windows', 'climbing ladder', 'dribbling basketball', 'playing saxophone']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000148_bowling_to_playing violin_5P0Szq9VDYg_000021_000031_bg_-wk1qN0k9VQ_000021_000031,150.0,bowling,playing violin,opening bottle,0.09348661452531815,29,0.008013582788407803,26,0.008630030788481236,False,False,False,False,True,-3,0.0006164480000734329,"['opening bottle', 'punching person (boxing)', 'smoking', 'cleaning windows', 'drinking', 'playing accordion', 'dunking basketball', 'walking the dog', 'climbing ladder', 'sword fighting']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000152_playing basketball_to_opening bottle_O1dribmMv-E_000070_000080_bg_vXQX5XQfySY_000004_000014,150.0,playing basketball,opening bottle,punching person (boxing),0.7900584936141968,8,0.006785645615309477,10,0.005766421090811491,False,False,False,False,False,2,-0.0010192245244979858,"['punching person (boxing)', 'sword fighting', 'hurdling', 'dunking basketball', 'playing accordion', 'climbing ladder', 'dribbling basketball', 'playing basketball', 'playing violin', 'opening bottle']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000156_playing volleyball_to_canoeing or kayaking_R7ClKLBfjuk_000042_000052_bg_jZNpH-jzWKw_000002_000012,150.0,playing volleyball,canoeing or kayaking,surfing water,0.3084041476249695,2,0.2219191938638687,4,0.08170322328805923,False,True,False,True,False,2,-0.14021597057580948,"['surfing water', 'playing volleyball', 'juggling soccer ball', 'canoeing or kayaking', 'shooting goal (soccer)', 'juggling balls', 'catching or throwing frisbee', 'skiing slalom', 'skipping rope', 'skiing (not slalom or crosscountry)']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000160_clean and jerk_to_surfing water_B98EOBpM5YQ_000017_000027_bg_yF3kyTjZuz4_000000_000010,150.0,clean and jerk,surfing water,surfing water,0.8145701289176941,4,0.01699104532599449,1,0.8145701289176941,False,True,True,True,True,-3,0.7975790835916996,"['surfing water', 'catching or throwing frisbee', 'juggling soccer ball', 'clean and jerk', 'playing volleyball', 'climbing a rope', 'dunking basketball', 'catching or throwing baseball', 'juggling balls', 'shooting goal (soccer)']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000164_surfing water_to_opening bottle_3tYvVpbcUmc_000000_000010_bg_sWMpkT9siSw_000021_000031,150.0,surfing water,opening bottle,surfing water,0.12709307670593262,1,0.12709307670593262,18,0.014461200684309006,True,True,False,False,False,17,-0.11263187602162361,"['surfing water', 'dribbling basketball', 'juggling soccer ball', 'flying kite', 'skipping rope', 'juggling balls', 'shooting goal (soccer)', 'dunking basketball', 'playing basketball', 'climbing a rope']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000168_skipping rope_to_dribbling basketball_38o0cPpR0Eo_000052_000062_bg_DBc7EM2OeaA_000020_000030,150.0,skipping rope,dribbling basketball,dribbling basketball,0.43313515186309814,3,0.09416735917329788,1,0.43313515186309814,False,True,True,True,True,-2,0.33896779268980026,"['dribbling basketball', 'skiing slalom', 'skipping rope', 'juggling soccer ball', 'hurdling', 'skiing (not slalom or crosscountry)', 'clean and jerk', 'playing volleyball', 'juggling balls', 'dunking basketball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000172_skiing (not slalom or crosscountry)_to_sweeping floor_RTPV8oTyvvA_000143_000153_bg_351SpPbC1Rs_000001_000011,150.0,skiing (not slalom or crosscountry),sweeping floor,skiing slalom,0.1523672491312027,9,0.04391157254576683,20,0.007979628629982471,False,False,False,False,False,11,-0.03593194391578436,"['skiing slalom', 'shooting goal (soccer)', 'hitting baseball', 'juggling soccer ball', 'playing basketball', 'dunking basketball', 'punching person (boxing)', 'skipping rope', 'skiing (not slalom or crosscountry)', 'shooting basketball']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000176_playing volleyball_to_eating ice cream_Djgz_dNVPjA_000069_000079_bg_6sT8P_kRhfw_000037_000047,144.0,playing volleyball,eating ice cream,surfing water,0.6719915866851807,44,0.00096672005020082,20,0.005702971015125513,False,False,False,False,True,-24,0.004736250964924693,"['surfing water', 'sword fighting', 'driving car', 'skiing slalom', 'dunking basketball', 'canoeing or kayaking', 'hurdling', 'juggling balls', 'dribbling basketball', 'catching or throwing frisbee']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000180_brushing teeth_to_punching person (boxing)_D9BXyKzfhGA_000000_000010_bg_jpjRqIqSX2U_000688_000698,94.5,brushing teeth,punching person (boxing),punching person (boxing),0.9676624536514282,39,3.020797339559067e-05,1,0.9676624536514282,False,False,True,True,True,-38,0.9676322456780326,"['punching person (boxing)', 'juggling balls', 'juggling soccer ball', 'shooting goal (soccer)', 'shooting basketball', 'skipping rope', 'climbing ladder', 'dunking basketball', 'bowling', 'tying tie']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000184_catching or throwing frisbee_to_walking the dog_VhikQMUP_Ak_000013_000023_bg_3NlgmP6MDmY_000021_000031,150.0,catching or throwing frisbee,walking the dog,catching or throwing frisbee,0.3978992700576782,1,0.3978992700576782,25,0.0007420536712743342,True,True,False,False,False,24,-0.3971572163864039,"['catching or throwing frisbee', 'juggling soccer ball', 'playing volleyball', 'sword fighting', 'juggling balls', 'skipping rope', 'hurdling', 'dribbling basketball', 'hitting baseball', 'flying kite']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000188_playing saxophone_to_shooting goal (soccer)_XuLVYAKjJGc_000063_000073_bg_xTNPOVOi764_000139_000149,150.0,playing saxophone,shooting goal (soccer),juggling soccer ball,0.29964175820350647,10,0.003861573524773121,6,0.0221239160746336,False,False,False,False,True,-4,0.018262342549860477,"['juggling soccer ball', 'juggling balls', 'skipping rope', 'playing tennis', 'tying tie', 'shooting goal (soccer)', 'dribbling basketball', 'catching or throwing frisbee', 'playing trumpet', 'playing saxophone']"
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000192_eating cake_to_drinking_M8YUAdP_nSo_000039_000049_bg_PkxtlwDr4AU_000073_000083,149.0,eating cake,drinking,smoking,0.5071897506713867,7,0.02742728218436241,9,0.016543757170438766,False,False,False,False,False,2,-0.010883525013923645,"['smoking', 'juggling balls', 'punching person (boxing)', 'juggling soccer ball', 'skipping rope', 'opening bottle', 'eating cake', 'dribbling basketball', 'drinking', 'brushing teeth']"
