action_swap_path,label_A,label_B,choice_1,choice_2,choice_3,choice_4,choice_5,human_choice,background_choice,choice,choice_is_human,choice_is_bg
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000026_walking the dog_to_playing bass guitar_-U1xXJB1AHE_000038_000048_bg_gJFNNbxsCN8_000104_000114,walking the dog,playing bass guitar,walking the dog,playing bass guitar,cleaning windows,eating cake,golf driving,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000027_archery_to_climbing a rope_MrI8XlHC4p0_000000_000010_bg_1c17xEdMHns_000119_000129,archery,climbing a rope,climbing a rope,sweeping floor,flying kite,brushing hair,archery,5,1,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000028_climbing ladder_to_canoeing or kayaking_qWr7plHuEtE_000024_000034_bg_2ENSwCFJ07A_000016_000026,climbing ladder,canoeing or kayaking,canoeing or kayaking,playing trumpet,eating ice cream,playing guitar,climbing ladder,5,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000029_playing volleyball_to_clean and jerk_Pb_R7BUnOQ4_000001_000011_bg_Um05ExTanZQ_000017_000027,playing volleyball,clean and jerk,playing volleyball,playing saxophone,skiing (not slalom or crosscountry),clean and jerk,playing basketball,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000030_canoeing or kayaking_to_reading book_YLuft2I6YYc_000092_000102_bg_taZtEzvkg3M_000002_000012,canoeing or kayaking,reading book,eating ice cream,reading book,canoeing or kayaking,playing violin,punching person (boxing),3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000031_dunking basketball_to_eating cake_i0O61_ndoWo_000002_000012_bg_ktK9w4n_zS0_000018_000028,dunking basketball,eating cake,skiing slalom,shooting basketball,eating cake,drinking,dunking basketball,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000032_shooting goal (soccer)_to_catching or throwing frisbee_YAmbVR1n56c_000144_000154_bg_MsfeeRqyaa4_000003_000013,shooting goal (soccer),catching or throwing frisbee,shooting basketball,catching or throwing frisbee,playing volleyball,hurdling,shooting goal (soccer),5,2,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000033_climbing a rope_to_bowling_M2anYJApuvQ_000000_000010_bg_fmBKCRz3yYk_000328_000338,climbing a rope,bowling,hurdling,skiing (not slalom or crosscountry),climbing a rope,brushing hair,bowling,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000034_playing accordion_to_canoeing or kayaking_nrF8FOuvACg_000127_000137_bg_FqCVQSDxOSs_000773_000783,playing accordion,canoeing or kayaking,canoeing or kayaking,drinking,playing accordion,surfing water,punching person (boxing),3,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000035_smoking_to_playing saxophone_QJrRlSn2rV0_000101_000111_bg_osE7Tz4k_gc_000197_000207,smoking,playing saxophone,playing saxophone,surfing water,playing violin,brushing hair,smoking,5,1,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000036_playing piano_to_driving car_9o68AyEWzcM_000081_000091_bg_tVuop87KbDY_000011_000021,playing piano,driving car,archery,playing piano,writing,driving car,shooting basketball,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000037_brushing teeth_to_deadlifting_Hwuul-R9x_g_000067_000077_bg_U7B_CxhXgYM_000000_000010,brushing teeth,deadlifting,brushing teeth,playing guitar,deadlifting,catching or throwing frisbee,cleaning windows,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000038_juggling soccer ball_to_driving car_xYnCc5a3nkM_000077_000087_bg_9c8Mi1WYwOs_000116_000126,juggling soccer ball,driving car,driving car,surfing water,juggling soccer ball,climbing a rope,hurdling,3,1,E,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000039_shooting goal (soccer)_to_catching or throwing frisbee_iMkymcBJUTE_000075_000085_bg_DR0WB_0vn90_000062_000072,shooting goal (soccer),catching or throwing frisbee,eating ice cream,catching or throwing frisbee,clean and jerk,shooting goal (soccer),brushing teeth,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000040_playing piano_to_eating cake_4mQP7S4EGwg_000020_000030_bg_IRppx8kfVlA_000006_000016,playing piano,eating cake,smoking,brushing teeth,playing piano,eating cake,opening bottle,3,4,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000041_opening bottle_to_cleaning windows_eFDcurD-6bY_000077_000087_bg_gmRb11vMatc_000045_000055,opening bottle,cleaning windows,catching or throwing frisbee,shooting goal (soccer),playing basketball,cleaning windows,opening bottle,5,4,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000042_playing bass guitar_to_sword fighting_pfWmvoFOjxk_000148_000158_bg_UCa9gsGh-gI_000003_000013,playing bass guitar,sword fighting,sword fighting,flying kite,playing violin,playing bass guitar,juggling balls,4,1,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000043_surfing water_to_catching or throwing frisbee_r2U-mAIEEYU_000000_000010_bg_FzYUhtv41XY_000041_000051,surfing water,catching or throwing frisbee,playing bass guitar,surfing water,catching or throwing frisbee,shooting basketball,smoking,2,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000044_shooting basketball_to_archery_xvU1Zt_P97Q_000066_000076_bg_oZ0QUyB18Zg_000178_000188,shooting basketball,archery,golf driving,shooting basketball,catching or throwing baseball,playing bass guitar,archery,2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000045_climbing a rope_to_hurdling_ZzecbRoYQT8_000012_000022_bg_de0NfvOCtno_000021_000031,climbing a rope,hurdling,hurdling,clean and jerk,climbing a rope,sword fighting,hitting baseball,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000046_clean and jerk_to_cleaning windows_XPaLzlrN-4o_000004_000014_bg_g_pXkgt618M_000068_000078,clean and jerk,cleaning windows,cleaning windows,hitting baseball,opening bottle,playing trumpet,clean and jerk,5,1,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000047_juggling soccer ball_to_skiing (not slalom or crosscountry)_XZivRFQTvuM_000141_000151_bg_wOlm2QBlX6s_000234_000244,juggling soccer ball,skiing (not slalom or crosscountry),punching person (boxing),skiing (not slalom or crosscountry),sweeping floor,juggling soccer ball,dribbling basketball,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000048_eating cake_to_brushing teeth_4EZs8ShkVEk_000092_000102_bg_4LjTObjauus_000022_000032,eating cake,brushing teeth,brushing teeth,eating cake,catching or throwing frisbee,clean and jerk,playing volleyball,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000049_shooting goal (soccer)_to_juggling balls_FXN38F_eok4_000038_000048_bg_Nbrtd_o2D8g_000078_000088,shooting goal (soccer),juggling balls,playing bass guitar,clean and jerk,reading newspaper,juggling balls,shooting goal (soccer),5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000050_sword fighting_to_writing_wC3IpGS5o5U_000017_000027_bg_OrWjyz2bFJQ_000064_000074,sword fighting,writing,dunking basketball,sword fighting,playing violin,skiing slalom,writing,2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000051_skiing slalom_to_bowling_o5K7K_9JqJo_000048_000058_bg_v52Gi2rgV3w_000005_000015,skiing slalom,bowling,flying kite,skiing slalom,bowling,juggling soccer ball,golf driving,2,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000052_reading newspaper_to_sweeping floor_-8oPwToqArE_000001_000011_bg_n5ZHSJRZl1U_000002_000012,reading newspaper,sweeping floor,canoeing or kayaking,sweeping floor,sword fighting,reading newspaper,tying tie,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000053_reading book_to_tying tie_X7CMbcLCq5A_000138_000148_bg_QQp6IfJInQc_000105_000115,reading book,tying tie,reading book,skipping rope,playing accordion,sword fighting,tying tie,1,5,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000054_skiing slalom_to_clean and jerk__YZiOJn1mYg_000010_000020_bg_cS3_7_XY4RU_000005_000015,skiing slalom,clean and jerk,playing guitar,punching person (boxing),juggling balls,clean and jerk,skiing slalom,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000055_brushing hair_to_dunking basketball_EJfiLph7tJ0_000000_000010_bg_N8L8j0RTFdg_000025_000035,brushing hair,dunking basketball,playing violin,deadlifting,brushing hair,playing trumpet,dunking basketball,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000056_playing saxophone_to_dribbling basketball_f8cq1C_NRKc_000076_000086_bg_P9lotgUhYQc_000022_000032,playing saxophone,dribbling basketball,deadlifting,playing saxophone,brushing teeth,dribbling basketball,eating cake,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000057_playing piano_to_playing violin_C9boKvSr3kU_000015_000025_bg_ennR61HZSP8_000066_000076,playing piano,playing violin,playing violin,playing piano,playing bass guitar,skiing slalom,skiing (not slalom or crosscountry),2,1,E,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000058_hitting baseball_to_skiing slalom_mTP2kap9cIw_000056_000066_bg_nK3b9DTxP5w_000366_000376,hitting baseball,skiing slalom,sweeping floor,skiing slalom,drinking,hitting baseball,catching or throwing frisbee,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000059_catching or throwing baseball_to_deadlifting_aU2ByztjE60_000009_000019_bg_wTb_kzlVfUE_000024_000034,catching or throwing baseball,deadlifting,dunking basketball,playing bass guitar,catching or throwing baseball,canoeing or kayaking,deadlifting,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000060_shooting basketball_to_dunking basketball_jnTuUuETpSs_000002_000012_bg_N8L8j0RTFdg_000025_000035,shooting basketball,dunking basketball,shooting basketball,deadlifting,playing saxophone,opening bottle,dunking basketball,1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000061_canoeing or kayaking_to_tying tie_J6YLyBlmkZw_000013_000023_bg_d2owlPKG5bY_000096_000106,canoeing or kayaking,tying tie,canoeing or kayaking,eating cake,bowling,flying kite,tying tie,1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000062_playing basketball_to_catching or throwing baseball_3mIvIgAlniY_000001_000011_bg_SzWZQDfymmY_000068_000078,playing basketball,catching or throwing baseball,playing basketball,catching or throwing baseball,tying tie,skipping rope,deadlifting,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000063_playing piano_to_playing tennis_9UJsk6sts_o_000052_000062_bg_n89Vt1KieGw_000003_000013,playing piano,playing tennis,sweeping floor,brushing hair,playing piano,bowling,playing tennis,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000064_smoking_to_juggling balls_3vCRLo5dtNY_000149_000159_bg_1cIrRGn5mmQ_000303_000313,smoking,juggling balls,juggling balls,smoking,skiing (not slalom or crosscountry),shooting basketball,shooting goal (soccer),2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000065_shooting goal (soccer)_to_sword fighting_2bA0vJGml6Q_000005_000015_bg_VH7Z2Bolvt4_000002_000012,shooting goal (soccer),sword fighting,playing violin,sword fighting,drinking,shooting goal (soccer),deadlifting,4,2,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000066_playing saxophone_to_juggling balls_P4w8Ef14Mis_000017_000027_bg_hWn5R3BQBys_000020_000030,playing saxophone,juggling balls,dribbling basketball,playing saxophone,reading newspaper,playing guitar,juggling balls,2,5,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000067_walking the dog_to_deadlifting_y3jdPKWjqZY_000004_000014_bg_tAn1JD4xFbc_000007_000017,walking the dog,deadlifting,skiing (not slalom or crosscountry),deadlifting,hitting baseball,walking the dog,playing bass guitar,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000068_smoking_to_reading newspaper_LJLymFbDnmk_000155_000165_bg_26N2XO29YU8_000006_000016,smoking,reading newspaper,smoking,playing bass guitar,reading newspaper,playing piano,clean and jerk,1,3,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000069_skiing slalom_to_deadlifting_3I0uO2fwVCk_000020_000030_bg_yzdUyn3sHSs_000006_000016,skiing slalom,deadlifting,deadlifting,skiing slalom,juggling balls,reading book,playing accordion,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000070_shooting goal (soccer)_to_driving car_vPUFfffOxRM_000000_000010_bg_p6vr6WVh2Ss_000036_000046,shooting goal (soccer),driving car,clean and jerk,hitting baseball,driving car,shooting goal (soccer),juggling balls,4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000071_dunking basketball_to_skiing (not slalom or crosscountry)_Epm2c6l1Md8_000002_000012_bg_pubHgFrMXUY_000234_000244,dunking basketball,skiing (not slalom or crosscountry),dunking basketball,canoeing or kayaking,skiing (not slalom or crosscountry),reading book,playing trumpet,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000072_sword fighting_to_playing volleyball_U3bcWXDWICY_000077_000087_bg_ZXvgHRz92h4_000056_000066,sword fighting,playing volleyball,playing volleyball,sword fighting,canoeing or kayaking,playing tennis,reading book,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000073_playing volleyball_to_eating cake_Djgz_dNVPjA_000069_000079_bg_M8YUAdP_nSo_000039_000049,playing volleyball,eating cake,eating cake,tying tie,playing volleyball,playing bass guitar,skipping rope,3,1,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000074_flying kite_to_playing basketball_XIkSWOfhvwE_000001_000011_bg__tLX2urc6I8_000013_000023,flying kite,playing basketball,catching or throwing baseball,playing tennis,flying kite,sweeping floor,playing basketball,3,5,A,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000075_surfing water_to_juggling soccer ball_yF3kyTjZuz4_000000_000010_bg_YfF6iqYm6J0_000000_000010,surfing water,juggling soccer ball,flying kite,hitting baseball,juggling soccer ball,playing piano,surfing water,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000076_playing accordion_to_climbing a rope_2GhcqTJoEaI_000017_000027_bg_C8_aYXTrthw_000050_000060,playing accordion,climbing a rope,climbing a rope,golf driving,playing accordion,driving car,playing tennis,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000077_catching or throwing frisbee_to_climbing ladder_9RKVtmshPrg_000014_000024_bg_VnlIIuL0WNQ_000000_000010,catching or throwing frisbee,climbing ladder,climbing ladder,sword fighting,playing guitar,climbing a rope,catching or throwing frisbee,5,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000078_reading book_to_playing accordion_XoO1uEVNgjM_000058_000068_bg_OtUxN7tXEXU_000049_000059,reading book,playing accordion,climbing a rope,reading newspaper,opening bottle,playing accordion,reading book,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000079_cleaning windows_to_catching or throwing frisbee_1M37VLYmSA4_000006_000016_bg_MsfeeRqyaa4_000003_000013,cleaning windows,catching or throwing frisbee,cleaning windows,opening bottle,catching or throwing frisbee,punching person (boxing),playing bass guitar,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000080_canoeing or kayaking_to_driving car_Fhj3gXyUukk_000330_000340_bg_8yRWHKGwKk4_000002_000012,canoeing or kayaking,driving car,juggling balls,canoeing or kayaking,driving car,archery,playing volleyball,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000081_walking the dog_to_hitting baseball_ElcE4QXDn5Q_000066_000076_bg_8gmHKqDxXdg_000019_000029,walking the dog,hitting baseball,walking the dog,sword fighting,dribbling basketball,hitting baseball,skipping rope,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000082_dunking basketball_to_skiing slalom_SHyG_fOThTQ_000152_000162_bg_Bm6RhvexHnc_000020_000030,dunking basketball,skiing slalom,dunking basketball,climbing a rope,clean and jerk,playing basketball,skiing slalom,1,5,E,False,True
